title,authors,abstract_url,source
Streaming Deep Reinforcement Learning Finally Works,"Mohamed Elsayed, Gautham Vasan, A. Rupam Mahmood","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Elsayed,+M",arXiv
Learning to Control the Smoothness of Graph Convolutional Network Features,"Shih-Hsin Wang, Justin Baker, Cory Hauck, Bao Wang","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Wang,+S",arXiv
How Does Data Diversity Shape the Weight Landscape of Neural Networks?,"Yang Ba, Michelle V. Mancenido, Rong Pan","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Ba,+Y",arXiv
A dataset for cyber threat intelligence modeling of connected autonomous vehicles,"Yinghui Wang, Yilong Ren, Hongmao Qin, Zhiyong Cui, Yanan Zhao, Haiyang Yu","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Wang,+Y",arXiv
Teaching Models to Balance Resisting and Accepting Persuasion,"Elias Stengel-Eskin, Peter Hase, Mohit Bansal","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Stengel-Eskin,+E",arXiv
DRACO-DehazeNet: An Efficient Image Dehazing Network Combining Detail Recovery and a Novel Contrastive Learning Paradigm,"Gao Yu Lee, Tanmoy Dam, Md Meftahul Ferdaus, Daniel Puiu Poenar, Vu Duong","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Lee,+G+Y",arXiv
Toolshed: Scale Tool-Equipped Agents with Advanced RAG-Tool Fusion and Tool Knowledge Bases,Elias Lumer,"https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Lumer,+E",arXiv
Temporal Fair Division of Indivisible Items,"Edith Elkind, Alexander Lam, Mohamad Latifian, Tzeh Yuan Neoh, Nicholas Teh","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Elkind,+E",arXiv
Embodied Exploration of Latent Spaces and Explainable AI,"Elizabeth Wilson, Mika Satomi, Alex McLean, Deva Schubert, Juan Felipe Amaya Gonzalez","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Wilson,+E",arXiv
"Dialetto, ma Quanto Dialetto? Transcribing and Evaluating Dialects on a Continuum","Ryan Soh-Eun Shim, Barbara Plank","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Shim,+R+S",arXiv
Learning With Multi-Group Guarantees For Clusterable Subpopulations,"Jessica Dai, Nika Haghtalab, Eric Zhao","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Dai,+J",arXiv
Neuro-Symbolic Traders: Assessing the Wisdom of AI Crowds in Markets,"Namid R. Stillman, Rory Baggott","https://arxiv.orghttps://arxiv.org/search/cs?searchtype=author&query=Stillman,+N+R",arXiv
"Cryo-electron tomography reveals coupled flavivirus replication, budding and maturation","Selma Dahmane, Erin Schexnaydre, Jianguo Zhang, Ebba Rosendal, Nunya Chotiwan, Bina Kumari Singh, Wai-Lok Yau, Richard Lundmark, Benjamin Barad, Danielle A Grotjahn, Susanne Liese, Andreas Carlson, Anna Overby, Lars-Anders Carlson",https://www.biorxiv.org/content/10.1101/2024.10.13.618056v2,bioRxiv
YAP-Driven Oral Epithelial Stem Cell Malignant Reprogramming at Single Cell Resolution,"Farhoud Faraji, Sydney I Ramirez, Lauren Clubb, Kuniaki Sato, Valeria Burghi, Thomas S Hoang, Adam Officer, Paola Y Anguiano Quiroz, William MG Galloway, Zbigniew Mikulski, Kate Medetgul-Ernar, Pauline Marangoni, Kyle B Jones, Alfredo A Molinolo, Kenneth Kim, Kanako Sakaguchi, Joseph A Califano III, Quinton Smith, Alon Goren, Ophir D Klein, Pablo Tamayo, J Silvio Gutkind",https://www.biorxiv.org/content/10.1101/2023.07.24.550427v2,bioRxiv
Revealing cancer driver genes through integrative transcriptomic and epigenomic analyses with Moonlight,"Mona Nourbakhsh, Yuanning Zheng, Humaira Noor, Hongjin Chen, Subhayan Akhuli, Matteo Tiberti, Olivier Gevaert, Elena Papaleo",https://www.biorxiv.org/content/10.1101/2024.03.14.584946v2,bioRxiv
Evolutionary rates of nuclear and organellar genomes are linked in land plants,"Yasmin Asar, Hervé Sauquet, Simon Y.W. Ho",https://www.biorxiv.org/content/10.1101/2024.08.05.606707v2,bioRxiv
Sustained ROS Scavenging and Pericellular Oxygenation by Lignin Composites Rescue HIF-1α and VEGF Levels to Improve Diabetic Wound Neovascularization and Healing,"Jangwook P Jung, Oluyinka O Olutoye II, Tanuj J Prajapati, Olivia S Jung, Lane D Yutzy, Kenny L Nguyen, Stephen W Wheat, JoAnne Huang, Benjamin W Padon, Fayiz Faruk, Sonya S Keswani, Phillip Kogan, Aditya A Kaul, Ling Yu, Hui Li, Shiyanth Thevasagayampillai, Mary Elizabeth Guerra, Walker D Short, Preethi H Gunaratne, Swathi Balaji",https://www.biorxiv.org/content/10.1101/2022.06.18.496670v4,bioRxiv
